"كد دوره در نفت";"ترتيب";"كد دوره";"كد تخصصي";"ساعت";"عنوان دوره";"عنوان گروه تخصصي";"نوع دوره";"كد پيش نياز";"حداكثر ظرفيت";"اهداف دوره";"شرايط شركت كنندگان";"نحوه اجرا";"تجهيزات مورد نياز";"فضاي آموزشي";"روش تدريس";"منابع آموزشي";"شرايط مدرس";"مقطع تحصيلي و رشته";"تجربه تدريس";"تجربه حرفه اي";"سطح ارزيابي";"روش ارزيابي";"شاخص ارزيابي";"توضيحات";"شاخص ارزيابي1111";"شاخص ارزيابي11111"
20357;27611;;"276";24;"خوردگي ناشي از آب در سيستمهاي انتقال و توزيع و روشهاي جلوگيري از آن";"مهندسي مواد و بازرسي فني - خوردگي و حفاظت";"شغلي";;10;"ارتقاء دانش فراگيران در جهت شناسايي انواع خوردگيهاي ناشي از آب و روشهاي پيشگيري";"كارشناسان مهندسين فرايند / خوردگي و حفاظت / بازرسي فني / بهره برداري";"حضوري";;"كلاس";"تئوري";"كتاب-جزوه";;"كارشناسي مهندسي شيمي / بازرسي فني/بازرسي فني";"3 سال";"7 سال";"يادگيري";"آزمون";"60%";;;
20361;76003;;"760";40;"بارهاي وارد بر ساختمان";"مهندسي عمران - سازه و زلزله";"شغلي";;12;"آشنايي با بارهاي وارد بر ساختمان";"كارشناسان مهندسي/مهندسي پروژه/امور زير بنايي/ساختمان";"حضوري";;"كلاس";"تئوري";"كتاب";;"كارشناس ارشد مهندسي عمران";"3";"5";"يادگيري";"آزمون";"60 از 100";;;
20366;41039;;"410";32;"DCS DELTA V - ENGINEERING";"برق - كنترل و ابزار دقيق";"شغلي";"41038";10;"توانمندسازي فراگيران در مهندسي و پياده سازي سيستم كنترل گسترده Delta V";"كارشناسان تعميرات -كنترل و ابزاردقيق";"حضوري";;"كلاس - كارگاه";"تئوري-عملي";"جزوه";"تجربه حرفه اي الزامي است";"كارشناس مهندسي برق";"3";"5";"يادگيري";"آزمون";"70 از 100";;;
20367;41040;;"410";24;"DCS DELTA V - MAINTENANCE";"برق - كنترل و ابزار دقيق";"شغلي";"41039";10;"توانمندسازي فراگيران در تعميرات و عيب يابي سيستم كنترل گسترده Delta V";"كارشناسان تعميرات -كنترل و ابزاردقيق";"حضوري";;"كلاس - كارگاه";"تئوري-عملي";"جزوه";"تجربه حرفه اي الزامي است";"كارشناس مهندسي برق";"3";"5";"يادگيري";"آزمون";"70 ار 100";"آشنايي با دوره شبكه هاي صنعتي عمومي";;
20368;76044;;"760";40;"طراحي سازه هاي كابلي";"مهندسي عمران - سازه و زلزله";"شغلي";;12;"توانايي فراگيران در طراحي سازه هاي كابلي";"كارشناسان مهندسي/مهندسي پروژه/امور زير بنايي/ساختمان/خدمات فني";"حضوري";;"كلاس";"تئوري";"كتاب-جزوه";;"كارشناس ارشد مهندسي عمران-سازه";"3";"5";"يادگيري";"آزمون";"60 از 100";;;
20376;52025;;"520";32;"كمپرسورها - اصول انتخاب و طراحي";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;15;"آشنائي با استانداردهاي طراحي و انتخاب كمپرسورها";"كارشناسان ادارات مهندسي/تعميرات/ خدمات فني/مهندسي پروژه";"حضوري";;"كلاس";"تئوري";"جزوه";;"مهندسي مكانيك";"3";"7";"يادگيري";"آزمون";"60%";"اشتباهي جديد ايجاد كرديم";;
20377;56012;;"560";40;"اصول طراحي  PIPING  بر اساس استاندارد ASME B31.3";"مكانيك - Piping";"شغلي";;15;"آشنايي با اصول اساسي طراحي سيستم لوله كشي بر اساس استاندارد ASME B31.3";"كارشناسان ادارات مهندسي/خدمات فني/ مهندسي پروژه";"حضوري";;"كلاس";"تئوري";"كتاب";"تجربه حرفه اي الزامي است";"كارشناسي مهندسي مكانيك";"3";"7";"يادگيري";"آزمون";"60 از 100";;;
20378;61015;;"610";24;"اصول محاسبه سرعت سيال، افت فشار و سايز لوله ها";"طراحي و مهندسي فرآيند - فرآيند";"شغلي";;15;"آشنايي با هيدروليك لوله ها";"مهندسين فرايند";"حضوري";;"كلاس";"تئوري";"جزوه-نرم افزار";;"كارشناس ارشد مكانيك سيالات";"7";"10";"يادگيري";"آزمون";"60 از 100";;;
20398;42050;;"420";24;"شبيه سازي سيستمهاي قدرت با نرم افزار PSCAD";"برق - قدرت";"شغلي";;10;"آشنايي فراگيران با نرم افزار تحليل شبكه هاي الكتريكيPSCAD";"كارشناسان شاغل در واحدهاي مهندسي ، تعميرات برق";"حضوري";;"كلاس";"تئوري-عملي";"جزوه-نرم افزار";;"كارشناسي و بالاتر برق-قدرت";"3 سال";"5 سال";"يادگيري";"آزمون";"60%";;;
20421;32001;;"320";24;"برنامه نويسي SQL";"كامپيوتر - بانكهاي اطلاعاتي";"شغلي";;15;"آشنايي با برنامه نويسي SQL";"شاغلين حوزه فناوري اطلاعات";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب";"تجربه اي حرفه اي و تدريس الزامي";"ليسانس كامپيوتر";"3";"5";"يادگيري";"آزمون";"70/100 و پروژه عملي";;;
20439;53010;;"530";16;"شناخت جرثقيل ها و ظرفيت آنها";"مكانيك - ماشين آلات(جرثقيل، بالابر و خودروهاي سبك و سنگين)";"شغلي";;20;"آشنايي فراگيران با انواع جرثقيل، كاربرد و اجزا آن";"شاغلين واحدهاي حمل و نقل-تعميرات-امور كالا";"حضوري";;"كلاس - محيط كار";"تئوري-عملي";"جزوه";"تجربه حرفه اي الزامي است";"تكنسين مكانيك";"3";"10";"يادگيري";"آزمون";"70%";;;
20444;27424;;"274";24;"بازرسي فني ابزارآلات ليفتينگ و جرثقيلها";"مهندسي مواد و بازرسي فني - بازرسي";"شغلي";;15;"توانايي  تست و بازرسي ابزار آلات ليفتينگ و جرثقيل ها";"تكنسين و كارشناسان واحدهاي بازرسي فني / تعميرات";"حضوري";;"كلاس";"تئوري";"كتاب - جزوه";"سابقه حرفه اي الزاميست";"كارشناسي مهندسي مكانيك / متالورژي";"3";"5";"يادگيري";"آزمون";"70%";;;
20446;53008;;"530";8;"جابجايي بار در زوايا و اوزان مختلف";"مكانيك - ماشين آلات(جرثقيل، بالابر و خودروهاي سبك و سنگين)";"شغلي";;20;"توانايي فراگيران در خصوص بارگيري و جابهجايي انواع بار در زوايا و اوزان مختلف";"تكنسين ها و كارشناسان شاغل در واحدهاي تعميرات-تداركات و حمل و نقل , امور كالا";"حضوري";;"كلاس";"تئوري";"جزوه";"سابقه حرفه اي الزامي است";"كارشناسي مهندس مكانيك";"3";"5";"يادگيري";"آزمون";"60%";;;
20447;83080;;"830";24;"نقشه خواني صنعتي اجزا دستگاه حفاري";"حفاري";"شغلي";;15;"آشنايي شرکت کنندگان با نقشه هاي اجزا دستگاه حفاري";"کليه کارکنان حفاري";"حضوري";;"كلاس";"تئوري";"جزوه";;"کارشناسي نفت / حفاري";"3 سال";"5 سال";"يادگيري";"آزمون";"60";;;
20455;83091;;"830";40;"نرم افزار GEODATA";"حفاري";"شغلي";;15;"توانايي شرکت کنندگان در کار با Geodata unit";"کارشناسان Mud Logging";"حضوري";;"كلاس و محيط کار";"تئوري-عملي";"جزوه و نرم افزار";;"کارشناسي نفت / حفاري";"3 سال";"5 سال";"يادگيري";"آزمون";"60";;;
20456;83092;;"830";40;"نرم افزار GEOLOGWIRS";"حفاري";"شغلي";;15;"توانايي شرکت کنندگان در کار با نرم افزار Geologwirs";"کارشناسان Mud Logging";"حضوري";;"كلاس و محيط کار";"تئوري-عملي";"جزوه و نرم افزار";;"کارشناسي نفت / حفاري";"3 سال";"5 سال";"يادگيري";"آزمون";"60";;;
20478;83005;;"830";32;"تكنولوژي مته هاي حفاري";"حفاري";"شغلي";;15;" توانايي شناخت ، انتخاب و کار با مته";"کليه کارکنان حفاري";"حضوري";;"كلاس";"تئوري";"جزوه";;"کارشناسي نفت / حفاري";"3 سال";"5 سال";"يادگيري";"آزمون";"60";;;
20479;56011;;"560";32;"PIPE NET محاسبات هيدروليك و سايزينگ با";"مكانيك - Piping";"شغلي";;8;"آشنايي با نحوه محاسبات هيدروليك و سايزينگ با استفاده از نرم افزار PIPE NET";"كارشناسان ادارات مهندسي/خدمات فني /مهندسي پروژه";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب-جزوه-نرم افزار";;"كارشناسي مهندسي مكانيك";"3";"7";"يادگيري";"آزمون";"60 از 100";;;
20482;86945;;"869";8;"مدون طب سالمند";"آموزشهاي درماني - پزشک عمومي";"شغلي";;30;"مرور کليات طب سالمندي و آشنايي با تازه هاي پزشکي";"پزشک عمومي";"غيرحضوري";;"کارگاه";"تئوري";"كتاب";;"متخصص داخلي - متخصص طب سالمندي";"5 سال";"5 سال";"يادگيري";"آزمون";"70 از 100";;;
20490;85019;;"850";16;"سكوهاي دريايي";"عمليات دريايي و دريا نوردي";"شغلي";;12;"آشنايي با سكوهاي دريايي و تجهيزات موجود بر روي آنها";"افسران عرشه و موتورخانه /راهنمايان/ مسئولين بارگيري/ناخدايان";"حضوري";;"كلاس";"تئوري";"جزوه";"مورد تاييد سازمان بنادر";;"5سال";"10سال";"يادگيري";"آزمون";"60%";;;
20491;83413;;"834";32;"تكميل چاه";"بهره برداري";"شغلي";;15;"آشنايي با تسهيلات سر چاهي و درون چاهي و انواع تكميل چاه هاي نفت و گاز";"كارشناسان مهندسي نفت";"حضوري";;"كلاس";"تئوري";"جزوه";;"كارشناسي ارشد بهره برداري يا حفاري";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از 100";;;
20493;82809;;"828";24;"خواص پتروفيزيكي سنگهاي مخزن - سطح 1";"پتروفيزيك";"شغلي";;15;"آشنايي با خواص پتروفيزيكي سنگهاي مخزن";"كارشناسان واحدهاي حوزه مهندسي نفت و زمين شناسي";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";;"كارشناسي ارشد مهندسي نفت/ زمين شناسي نفت";"3";"5";"يادگيري";"آزمون";"60%";;;
20494;82008;;"820";24;"خواص سيالات مخزن";"مهندسي مخازن";"شغلي";"82002";15;"آشنايي با خواص سيالات مخزن";"كارشناسان واحدهاي مهندسي مخازن";"حضوري";;"كلاس";"تئوري";"جزوه";;"كارشناسي ارشد مهندسي مخازن";"3 سال";"5 سال";"يادگيري";"آزمون";"70%";;;
20504;71002;;"710";40;"نقشه خواني , مسير يابي و نقشه برداري مسير";"مهندسي عمران - نقشه برداري";"شغلي";;10;"آشنايي با مسير يابي با توجه به عوارض موجود در طبيعت";"تكنسين ها و كارشناسان واحدهاي نقشه برداري";"حضوري";;"كلاس";"تئوري-عملي";"كتاب - جزوه";"تجربه حرفه اي الزاميست";"كارشناس ارشد مهندسي عمران گرايش نقشه برداري";"3";"5";"يادگيري";"آزمون";"70%";"پيشنهاد دهنده شركت مناطق نفت خيز جنوب/نفت مركزي";;
20517;23008;"23008";"230";40;"ISO14001 - سرمميزي استاندارد مديريت زيست محيطي";"مديريت كيفيت - نظام سيستمهاي مديريتي";"شغلي";;20;"تربيت مميزان سيستمهاي مديريت زيست محيطي جهت انجام مميزي سازمان خويش/پيمانكاران/مميزي رسمي سازمانهاي گواهي دهنده بعنوان مميز يا سرمميز و شناخت فعاليتهاي مميزي شخص ثالث سيستم مديريت زيست محيطي  ISO14001";"كارشناسان و روساي واحدهاي محيط زيست و كيفيت";"حضوري";;"كلاس";"تئوري";"جزوه";"مورد تاييد موسسه IRCA";"كارشناس محيط زيست";"3";"5";"يادگيري";"آزمون";"70 از 100";;;
20524;82619;;"826";24;"ذخيره سازي، پشتيباني و مديريت اطلاعات ژئوفيزيكي - سطح 1";"ژئوفيزيك";"شغلي";;10;"آشنايي با ذخيره سازي، پشتيباني و مديريت اطلاعات ژئوفيزيكي";"كارشناسان و كارشناسان ارشد واحدهاي ژئوفيزيك";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";"كارشناسي ارشد ژئوفيزيك";"5";"5";"يادگيري";"آزمون";"60%";;;;
20531;88202;;"882";16;"اخلاق و مقررات مامايي";"آموزشهاي درماني - مامايي";"شغلي";;30;"ارتقاء سطح دانش و مهارت کارشناسان مامايي و آشنايي با تازه هاي پزشکي";"کارشناسان مامايي";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب";;"متخصص زنان ومامايي";"5سال";"5سال";"يادگيري";"آزمون";"70 از 100";;;
20536;76032;;"760";80;"طراحي سازه هاي فولادي سطح 2";"مهندسي عمران - سازه و زلزله";"شغلي";"76031";12;"آشنايي و توانمند سازي فراگيران با اصول طراحي پيشرفته سازه هاي فولادي";"كارشناسان مهندسي/مهندسي پروژه/امور زير بنايي/ساختمان/خدمات فني";"حضوري";;"كلاس";"تئوري";"كتاب-جزوه";"ترجيحا با همكاري سه استاد";"دكتري مهندسي عمران-سازه يا زلزله";"5";"10";"يادگيري";"آزمون";"60 از 100";;;
20541;70007;;"700";24;"تهيه صورت وضعيت اجرايي پروژه هاي ساختماني با نرم افزار مرتبط";"مهندسي عمران - عمومي";"شغلي";;12;"توانمندسازي فراگيران در تهيه و كنترل صورت وضعيت اجرايي پروژه هاي ساختماني با نرم افزار مرتبط";"كارشناسان و سرپرستان امور مهندسي / ساختمان /خدمات فني /امور مالي /قراردادها";"حضوري";;"كلاس";"تئوري-عملي";"كتاب - جزوه- نرم افزار";"سابقه كار الزاميست";"كارشناسي مهندسي عمران/مديريت پروژه";"3";"5";"يادگيري";"آزمون";"70%";;;
20542;70008;;"700";24;"تعديل آحاد بهاي پيمانهاي ساختماني";"مهندسي عمران - عمومي";"شغلي";"70007";12;"توانمندسازي فراگيران در محاسبه تعديل آحاد بهاي پيمانهاي ساختماني";"كارشناسان و سرپرستان امور مهندسي / ساختمان /خدمات فني /امور مالي /قراردادها";"حضوري";;"كلاس";"تئوري-عملي";"كتاب - جزوه- نرم افزار";"سابقه كار الزاميست";"كارشناسي حسابداري/ مديريت مالي / مهندسي عمران/مديريت پروژه";"3";"5";"يادگيري";"آزمون";"70%";;;
20543;76034;;"760";80;"طراحي سازه هاي بتن مسلح 1";"مهندسي عمران - سازه و زلزله";"شغلي";;12;"آشنايي فراگيران با طراحي سازه هاي بتن مسلح";"كارشناسان مهندسي/مهندسي پروژه/امور زير بنايي/ساختمان/خدمات فني";"حضوري";;"كلاس";"تئوري";"جزوه";;"كارشناس ارشد مهندسي عمران-سازه";"3";"5";"يادگيري";"آزمون";"60 از 100";;;
20544;73002;;"730";80;"اصول مهندسي خاك";"مهندسي عمران - خاك و پي";"شغلي";;12;"آشنايي با اصول مقدماتي مهندسي ژئوتكنيك";"كارشناسان مهندسي -مهندسي پروژه / امور زيربنايي/ خدمات فني";"حضوري";;"كلاس";"تئوري";"كتاب";;"كارشناسي ارشد مهندسي عمران گرايش ژئوتكنيك/خاك وپي";"3";"5";"يادگيري";"آزمون";"60%";;;
20545;75019;;"750";24;"آزمايشهاي مصالح ساختمان";"مهندسي عمران - سيويل";"شغلي";;8;"توانايي انجام آزمايشهاي تخصصي مصالح ساختماني";"كارشناسان و تكنسينهاي مهندسي/مهندسي پروژه/امور زير بنايي/ساختمان/خدمات فني";"حضوري";;"آزمايشگاه";"تئوري-عملي";"كتاب-جزوه";;"كارشناس مهندسي عمران";"3";"5";"يادگيري";"آزمون";"70 از 100";;;
20549;75020;;"750";24;"آزمايشهاي بتن";"مهندسي عمران - سيويل";"شغلي";;8;"توانايي انجام ازمايشهاي بتن";"تكنسينها و كارشناسان مهندسي/مهندسي پروژه/امور زير بنايي/ساختمان/خدمات فني";"حضوري";;"آزمايشگاه";"عملي";"كتاب-جزوه";;"كارشناس مهندسي عمران";"3";"7";"يادگيري";"آزمون";"70 از 100";;;
20563;27436;;"274";24;"API1104 - بازرسي جوش خطوط لوله بر اساس استاندارد";"مهندسي مواد و بازرسي فني - بازرسي";"شغلي";;15;"توانايي بازرسي جوش خطوط لوله بر اساس استاندارد API1104";"تكنسين و كارشناسان واحدهاي بازرسي فني";"حضوري";;"كلاس";"تئوري";"كتاب - جزوه";"سابقه حرفه اي الزاميست";"كارشناسي مهندسي مكانيك / متالورژي";"3";"5";"يادگيري";"آزمون";"70%";;;
20564;27618;;"276";32;"انواع پوشش هاي حفاظتي و سامانه هاي اجرايي";"مهندسي مواد و بازرسي فني - خوردگي و حفاظت";"شغلي";;20;"ارتقاي سطح دانش فراگيران در انواع پوششهاي حفاظتي و اجراي آن";"كارشناسان بازرسي فني/ تعميرات/ بهره برداري/ اجراي پروژه ها";"حضوري";;"كلاس";"تئوري";"جزوه";"تجربه حرفه اي الزامي است";"كارشناسي مهندسي مواد / شيمي / پليمر/ خوردگي/بازرسي فني";"3";"10";"يادگيري";"آزمون";"60%";;;
20569;27637;;"276";24;"انواع آندها وخواص مربوطه";"مهندسي مواد و بازرسي فني - خوردگي و حفاظت";"شغلي";;15;"شناخت انواع آندها و كاربرد آنها در صنعت";"كارشناسان بازرسي فني/ حفاظت";"حضوري";;"كلاس";"تئوري";"جزوه";;"كارشناسي مهندسي مواد / مكانيك/بازرسي فني";"3";"7";"يادگيري";"آزمون";"60%";;;
20576;27403;;"274";24;"بازرسي فني با استفاده ازذرات مغناطيسي- MT - سطح 1 و 2";"مهندسي مواد و بازرسي فني - بازرسي";"شغلي";;12;"توانايي فراگيران در انجام  بازرسي به روش MT";"تكنسين و كارشناسان واحدهاي بازرسي فني";"حضوري";"دستگاه MT  و تجهيزات جانبي";"كلاس - كارگاه";"تئوري-عملي";"كتاب - جزوه";"دارا بودن مدرك سطح3 تست ذرات مغناطيسي";"كارشناسي مهندسي مكانيك / متالورژي";"3";"5";"يادگيري";"آزمون";"70%";;;
20602;20407;;"204";32;"زبان تخصصي اصول و فنون بازاريابي";"زبان تخصصي - مشاغل غيرفني";"شغلي";"06012";15;"آشنايي فراگيران با زبان و اصطلاحات انگليسي در زمينه بازاريابي";"كارشناسان واحدهاي بازرگاني/ بين الملل/ ساير واحدهاي مرتبط";"حضوري";;"كلاس";"تئوري";"كتاب";"تجربه حرفه اي و داشتن مدرك TTI يا TTC يا TKTالزامي است";"ليسانس زبان انگليسي/ مديريت بازرگاني";"3";"5";"يادگيري";"آزمون";"ارائه مطلب يك نمونه پيشنهادي توسط فراگيران و 70%";;;
20637;88019;;"880";8;"تغذيه و ارتباط آن با بيماريهاي نوين";"آموزشهاي درماني - تغذيه";"شغلي";;25;"بازنگري در آگاهي ها و تبحرهاي کارشناسان تغذيه و آشنايي با تازه هاي تغذيه";"کارشناسان ومتخصصان تغذيه";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب";"استاد دانشگاه";"دکتري تغذيه";"5سال";"5سال";"يادگيري";"آزمون";"70 از 100";;;
20639;53001;;"530";24;"اتومكانيك - اصول و مباني انتقال قدرت(كلاج-گيربكس-ديفرانسيل-سيستم تعليق)-مقدماتي";"مكانيك - ماشين آلات(جرثقيل، بالابر و خودروهاي سبك و سنگين)";"شغلي";;10;"شناخت اصول و مباني سيستمهاي انتقال قدرت";"كارشناسان شاغل در بخشهاي مربوط به خودروهاي سبك و سنگين";"حضوري";"فيلم آموزشي";"كلاس";"تئوري";"كتاب-جزوه";"سابقه حرفه اي و تدريس الزامي است";"كارداني مكانيك خودرو";"7";"10";"يادگيري";"آزمون";"70%";;;
20647;13307;;"133";16;"نيازسنجي آموزشي";"پشتيباني و ستاد - منابع انساني - آموزش";"شغلي";;20;"تبيين نظام فرايند نيازسنجي آموزشي";"كارشناسان آموزش";"حضوري";;"كلاس";"تئوري";"كتاب";;"فوق ليسانس مديريت دولتي / مديريت آموزشي / مديريت برنامه ريزي آموزشي";"3 سال";"5 سال";"يادگيري";;;;;
20671;13804;;"138";32;"ارزيابي مشاغل (روش HEI)";"پشتيباني و ستاد - منابع انساني - تشكيلات و روشها";"شغلي";;20;"آشنايي با چگونگي ارزيابي مشاغل";"كاركنان تشكيلات و روشها /امور سازمان";"حضوري";;"كلاس";"تئوري";"كتاب";;"فوق ليسانس مهندسي صنايع / مديريت";"3 سال";"7 سال";;;;;;
20676;13803;;"138";24;"آشنايي با نرم افزارهاي طراحي ساختار";"پشتيباني و ستاد - منابع انساني - تشكيلات و روشها";"شغلي";;20;"آشنايي با نرم افزارهاي كاربردي طراحي ساختار سازماني";"كاركنان تشكيلات و روشها /امور سازمان";"حضوري";;"كلاس";"تئوري-عملي";"كتاب - نرم افزار";;"فوق ليسانس مهندسي صنايع";"3 سال";"7 سال";;;;;;
20680;13403;;"134";16;"فرايند برنامه ريزي انتصابات كاركنان";"پشتيباني و ستاد - منابع انساني - برنامه ريزي";"شغلي";;12;"تشريح فرآيند برنامه ريزي انتصابات كاركنان و نحوه تغذيه در سيستم جامع نيروي انساني";"كارشناسان برنامه ريزي نيروي انساني / كارشناسان برنامه ريزي نيروي انساني و آموزش";"حضوري";;"كلاس";"تئوري-عملي";"كتاب - نرم افزار";;"فوق ليسانس مديريت دولتي";"3 سال";"5 سال";"يادگيري";;;;;
20683;85309;"85309";"853";32;"دموراژ و عمليات نفتكش ها";"عمليات بندري و بارگيري";"شغلي";;12;"آشنايي با چگونگي تعيين خسارات ناشي از تاخيرات";"كاركنان اداره عمليات صادرات نفت /عمليات دريايي/اداره اسناد و اطلاعات";"حضوري";;"كلاس";"تئوري";"جزوه";"تجربه حرفه اي الزامي است.";"كارشناسي ارشد حقوق دريايي";"3";"5";"يادگيري";"آزمون";"60%";;;
20715;27428;;"274";40;"API653 - بازرسي مخازن ذخيره در حين بهره برداري و تعميرات و تغييرات بر اساس استاندارد";"مهندسي مواد و بازرسي فني - بازرسي";"شغلي";;15;"توانايي بازرسي مخازن ذخيره در حين بهره برداري و تعميرات و تغييرات بر اساس استاندارد API653";"تكنسين و كارشناسان واحدهاي بازرسي فني";"حضوري";;"كلاس";"تئوري";"كتاب - جزوه";"سابقه حرفه اي الزاميست";"كارشناسي مهندسي مكانيك / متالورژي";"3";"5";"يادگيري";"آزمون";"70%";;;
20725;36029;;"360";16;"اصول و مفاهيم تست نرم افزار";"كامپيوتر - طراحي و برنامه نويسي";"شغلي";;12;"آشنايي فراگيران با اصول ومفاهيم تست  نرم افزار";"كارشناسان و مديران حوزه فن آوري اطلاعات";"حضوري";;"كارگاه";"تئوري-عملي";"-جزوهكتاب-نرم افزار";"تجربه حرفه اي و تدريس الزامي است در صورت داشتن ليسانس غير مرتبط داشتن مدرك معتبر و 10 سال سابقه حرفه اي مرتبط الزامي است";"ليسانس مرتبط با فن آوري اطلاعات";"5 سال";"5 سال";"يادگيري";"آزمون";"60%";;;
20728;13801;;"138";16;"مباني واصول طراحي ساختارسازماني در صنايع نفت و گاز";"پشتيباني و ستاد - منابع انساني - تشكيلات و روشها";"شغلي";;20;"آشنايي با مباني، اصول و نظريه هاي مرتبط با ساختار سازماني در صنايع نفت و گاز";"كارشناسان امور سازماني / بهبود روشها / تشكيلات و روشها";"حضوري";;"كلاس";"تئوري";"كتاب - جزوه";;"فوق ليسانس مديريت / مهندسي صنايع";"3 سال";"7 سال";"يادگيري";;;;;
20732;83805;;"838";24;"آشنايي با عمليات بهره برداري وتزريق";"فرآيندهاي توليد نفت و گاز";"شغلي";;15;"آشنايي مقدماتي با فرايند بهره برداري و تزريق";"كارشناسان مهندسي فرايند- بهره برداري";"حضوري";;"كلاس";"تئوري";"جزوه";" تجربه حرفه اي الزامي است";"كارشناسي مهندسي بهره برداري";"3";"5";"يادگيري";"آزمون";"60%";;;
20740;83076;;"830";32;"اصول تعادل و پايداري دستگاه هاي حفاري";"حفاري";"شغلي";;15;"شناخت شرکت کنندگان از اصول تعادل دکل هاي حفاري";"کارشناسان حفاري";"حضوري";;"كلاس";"تئوري";"جزوه";;"کارشناسي نفت / حفاري";"3 سال";"5 سال";"يادگيري";"آزمون";"60";;;
20744;14109;;"141";16;"تهيه و تنظيم اسناد مناقصه و مزايده بين المللي";"پشتيباني و ستاد - حقوق - امور حقوقي";"شغلي";;20;"آشنايي با مناقصه و مزايده بين المللي و نحوه تنظيم اسناد";"كاركنان امور حقوقي، قراردادها و مالي";"حضوري";;"كلاس";"تئوري";"كتاب و جزوه";"تسلط به زبان انگليسي";"فوق ليسانس حقوق";"3 سال";"5 سال";"يادگيري";"آزمون";"60 از صد";;;
20746;41002;;"410";24;"شبكه هاي صنعتي - عمومي";"برق - كنترل و ابزار دقيق";"عمومي";;20;"اشنايي فراگيران با مفاهيم شبكه هاي صنعتي";"كارشناسان برق و ابزاردقيق";"حضوري";;"كلاس";"تئوري";"كتاب";;"كارشناس برق -كنترل و ابزاردقيق";"3";"5";"واكنشي";"نظرسنجي";;;;
20747;65030;;"650";16;"شناخت و آناليز رسوبات صنعتي";"آزمايشگاه شيمي";"شغلي";"65006";15;"آشنايي با انواع رسوبات و آزمونهاي مرتبط";"شاغلين آزمايشگاه";"حضوري";;"آزمايشگاه";"تئوري-عملي";"جزوه";"5سال تجربه كار مرتبط الزامي است";"كارشناس ارشد شيمي آلي يا معدني";"5سال";"3سال";"يادگيري";"آزمون";"70از 100";;;
20755;42008;;"420";16;"برق ويژه تاسيسات فرا ساحلي";"برق - قدرت";"شغلي";;20;"توانمندسازي فراگيران در خصوص تجهيزات برق ويژه تاسيسات فراساحلي";"مهندسي،تعميرات برق و ساير واحدهاي مربوطه در تاسيسات فراساحلي";"حضوري";;"كلاس";"تئوري";"جزوه";;"كارشناسي و بالاتر برق-قدرت";"3 سال";"5 سال";"يادگيري";"آزمون";"60%";;;
20760;52019;;"520";40;"توربينهاي گازي - تعميرات و نگهداري";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;8;"آشنايي با نحوه تعمير و نگهداري،اجزا و قطعات و انواع توربينهاي گازي";"كارشناسان و تكنسينهاي تعميرات";"حضوري";;"كلاس - كارگاه-محيط كار";"تئوري-عملي";"جزوه";;"مهندسي مكانيك";"5";"15";"يادگيري";"آزمون";"60%";;;
20762;83804;;"838";24;"آشنايي با تاسيسات سكوي نفتي";"فرآيندهاي توليد نفت و گاز";"شغلي";;15;"آشنايي با عمليات بهره برداري و ايمني سكوهاي نفتي";"كارشناسان مهندسي فرايند- بهره برداري";"حضوري";;"كارگاه";"تئوري-عملي";"جزوه";" تجربه حرفه اي الزامي است";"كارشناسي مهندسي بهره برداري";"3";"5";"يادگيري";"آزمون";"60%";;;
20767;41099;;"410";32;"طراحي ابزاردقيق با نرم افزار INTOOLS";"برق - كنترل و ابزار دقيق";"شغلي";;15;"آشنايي فراگيران با نحوه طراحي ابزار دقيق با نرم افزار INTOOLS";"كارشناسان  ابزاردقيق";"حضوري";;"كلاس";"تئوري-عملي";"كتاب - جزوه - نرم افزار";"تجربه حرفه اي الزامي است";"كارشناس برق- ابزار دقيق";"3";"5";"يادگيري";"آزمون";"70 از 100";;;
20770;9035;"09035";"090";16;"مديريت عملكرد";"بهبود مديريت";"بهبود مديريت";;25;"آشنايي سرپرستان و مديران با مديريت عملكرد";"مديران, سرپرستان و مسئولين مربوطه";"حضوري";;"كلاس";"تئوري";"كتاب - جزوه";;"فوق ليسانس صنايع / مديريت";"3";"5";"يادگيري";"آزمون";"60%";;;
20785;7001;"07001";"070";24;"مفاهيم  پايه  فناوري  اطلاعات  و مباني  كامپيوتر";"عمومي - كامپيوتر - پايه";"عمومي";;15;"آشنايي با مفاهيم اوليه فناوري اطلاعات و ارتباطات";"كاركنان صنعت نفت";"حضوري";;"كلاس";"تئوري-عملي";"كتاب";;"ليسانس مهندسي كامپيوتر - فناوري اطلاعات";"3";"5";"يادگيري";"آزمون";"75 از 100";;;
