"كد دوره در نفت";"ترتيب";"كد دوره";"كد تخصصي";"ساعت";"عنوان دوره";"عنوان گروه تخصصي";"نوع دوره";"كد پيش نياز";"حداكثر ظرفيت";"اهداف دوره";"شرايط شركت كنندگان";"نحوه اجرا";"تجهيزات مورد نياز";"فضاي آموزشي";"روش تدريس";"منابع آموزشي";"شرايط مدرس";"مقطع تحصيلي و رشته";"تجربه تدريس";"تجربه حرفه اي";"سطح ارزيابي";"روش ارزيابي";"شاخص ارزيابي";"توضيحات";"شاخص ارزيابي1111";"شاخص ارزيابي11111"
609;52015;;"520";40;"توربينهاي بخار - اصول انتخاب و طراحي بر اساس API 611 ,612";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;10;" تبيين استانداردهاي  API 611  و API 612";"كارشناسان ادارات مهندسي-تعميرات- خدمات فني - مهندسي پروژه";"حضوري";;"كلاس";"تئوري";"جزوه";;"مهندسي مكانيك";"5";"10";"يادگيري";"آزمون";"60%";;;
610;52016;;"520";16;"توربينهاي بخار - نحوه تكميل Data Sheet بر اساس API 611 ,612";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";"52015";8;"توانايي تكميل data sheet توربينهاي بخار بر اساس استانداردهاي  API 611  و API 612";"كارشناسان ادارات مهندسي-خدمات فني-مهندسي پروژه";"حضوري";;"كلاس-كارگاه";"تئوري-عملي";"جزوه";;"مهندسي مكانيك";"5";"10";"يادگيري";"آزمون";"60%";;;
611;52017;;"520";32;"توربينهاي بخار - اختصاصي";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;15;"آشنايي با نحوه انتخاب و طراحي, بهره برداري ، تعمير و نگهداري توربينهاي بخار مربوط به هر واحد عملياتي";"تكنسينها و كارشناسان بهره برداري- تعميرات-مهندسي-خدمات فني-بازرسي فني- مهندسي پروژه ها";"حضوري";;"كلاس - كارگاه-محيط كار";"تئوري-عملي";"جزوه";;"مهندسي مكانيك";"5";"15";"يادگيري";"آزمون";"60%";;;
612;52022;;"520";16;"توربينهاي گازي - نحوه تكميل Data Sheet بر اساس API 616";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";"52021";15;"توانايي نحوه تكميل data sheet  كمپرسورهاي گريز از مركز بر اساس API 616";" كارشناسان تعميرات-مهندسي-خدمات فني- مهندسي پروژه ها";"حضوري";;"كلاس";"تئوري";"جزوه";;"مهندسي مكانيك";"5";"15";"يادگيري";"آزمون";"60%";;;
613;52023;;"520";40;"توربينهاي گازي - اختصاصي";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;8;"آشنايي با نحوه انتخاب و طراحي, بهره برداري ، تعمير و نگهداري توربينهاي گازي اختصاصي";"تكنسينها و كارشناسان بهره برداري- تعميرات-مهندسي-خدمات فني-بازرسي فني- مهندسي پروژه ها";"حضوري";;"كلاس -محيط كار";"تئوري-عملي";"جزوه";;"مهندسي مكانيك";"5";"15";"يادگيري";"آزمون";"60%";;;
614;52024;;"520";32;"كمپرسورها - اصول بهره برداري و كاربرد آنها";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;15;"آشنايي با اجزا و كاربرد انواع كمپرسورها";"تكنسين وكارشناس واحد مهندسي/تعميرات/خدمات فني/بازرسي فني/ مهندسي پروژه/بهره برداري";"حضوري";;"كلاس";"تئوري";"جزوه-كتاب";;"مهندسي مكانيك";"3";"7";"يادگيري";"آزمون";"60%";;;
615;54023;;"540";32;"اصول طراحي سيستم لوله كشي در شناورها و سازه هاي دريايي";"مكانيك - تاسيسات و تهويه و تبريد";"شغلي";;15;"آشنايي با سيستمهاي لوله كشي شناورها و نحوه طراحي آنها";"مهندسين عملياتي شناورها/ناظرين تعميرات اساسي شناورها/كاركنان سفارشات كالا اداره خدمات دريايي";"حضوري";;"كلاس";"تئوري";"كتاب- نرم افزار";"سابقه کار الزاميست";"مهندسي مکانيك / سرمهندسي كشتي هاي اقيانوس پيما";"3";"5";"يادگيري";"آزمون";"70%";;;
616;52026;;"520";32;"كمپرسورها - اختصاصي";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;10;"آشنايي با نحوه طراحي و انتخاب، بهره برداري و تعميرات انواع كمپرسورهاي موجود در واحدهاي عملياتي";"تكنسين وكارشناس ادارات مهندسي/تعميرات/ خدمات فني/بازرسي فني/مهندسي پروژه/بهره برداري";"حضوري";;"كلاس-كارگاه";"تئوري-عملي";"جزوه";"تجربه حرفه اي الزامي است";"مهندسي مكانيك";"5";"10";"يادگيري";"آزمون";"60%";;;
617;52028;;"520";16;"كمپرسورهاي جا به جايي مثبت - نحوه تكميل Data Sheet بر اساس API 618 , 619";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;15;"توانايي نحوه تكميل data sheet  كمپرسورهاي جا به جايي مثبت بر اساس API 618 و API 619";" كارشناسان تعميرات-مهندسي-خدمات فني- مهندسي پروژه ها";"حضوري";;"كلاس";"تئوري";"جزوه";;"مهندسي مكانيك";"5";"15";"يادگيري";"آزمون";"60%";;;
618;52030;;"520";40;"كمپرسورهاي رفت و برگشتي - تعميرات و نگهداري";"تجهيزات فرآيندي - دستگاههاي دوار";"شغلي";;10;"آشنائي با نگهداري، عيب يابي و تعميرات كمپرسورهاي رفت و برگشتي";"كارشناسان و تكنسينهاي تعميرات- بهره برداري";"حضوري";;"كلاس-كارگاه";"تئوري-عملي";"جزوه";"تجربه حرفه اي الزامي است";"مهندسي مكانيك";"5";"10";"يادگيري";"آزمون";"60%";;;
