"كد دوره";"كد دوره در نفت";"کد دوره در پالايش و پخش";"کد دوره در گاز";"کد دوره در پتروشيمي"
14101;14633;;1163-46005;
14102;14634;;1192;
14103;17842;;-;
14104;17843;;-;
14105;17846;;-;
14106;17847;;-;
14107;19086;;1182;
14108;20121;;-;
14109;20744;;1166-1525;
14110;21531;;1181-1289-1288;
14111;21589;;1329;
14112;-;;-;
14113;-;;-;
14114;-;;1185-1186-1171-1083-40005-40006;
14115;-;;-;
14116;-;;44020-44019-44018;
14117;-;;1168;
14118;-;;-;
14119;-;;46002;
14120;-;;3235;
14121;-;;-;
14122;-;;1528-3891-1315;
14123;-;;1188;
14124;-;;1174-1059;
14125;-;;1191;
14126;-;;-;
14127;-;;44028-3856-44017;
14128;-;;-;
14129;-;;-;
14130;-;;1062;
14131;-;;-;
14132;-;;-;
14501;-;;1219-1220-1083;
14502;11549;;3876-1363-7102;
14503;12797;;1358-1356-44001;
14504;21661;;3874;
14505;-;;-;
14506;-;;-;
14507;22628;;-;
14508;23540;;1520-1169;
14509;-;;-;
14510;-;;30018;
82201;-;;;
82202;-;;;
82203;-;;;
82204;14946;;;
82205;15814;;;
82206;23639;;;
82207;23967;;;
82208;37883;;;
82209;22770;;;
82210;22314;;;
82211;10430;;;
82212;-;;;
82213;12248;;;
82214;37877;;;
82215;37884;;;
82216;23621;;;
82217;-;;;
82218;-;;;
13501;18087;;40010-1530;
13502;19071;;-;
13503;19068;;-;
13504;22004;;-;
13505;;;;
13506;;;;
13507;;;1313;
13508;;;;
13509;;;;
13510;;;;
15001;22005;-;1271;
15002;-;3050245;-;
15003;14557;-;1370;
15004;22083;-;-;
15005;-;3050246;1263;
15006;-;3050004;1247-1248;
15007;-;-;-;
15008;-;3050236;-;
15009;-;3050018;1224;
15010;19072;-;1259;
15011;-;3050209;-;
15012;-;3050232;1235-1229;
15013;-;3050235;3224-1224;
15014;401257;-;1257-1258;
15015;18264;-;1236-40037;
15016;-;3050213;-;
15017;401225;;90002;
15018;;3050234;-;
15019;;3050191;1238-30022;
15020;16565;;4119-10001;
15021;11832;;-;
15022;;3050229;1237;
15023;-;;1239;
15024;-;3050243;1256;
15025;-;3050244;1240;
15026;10891;;1241-1251-1255;
15027;;3050231;1601;
15028;14611;3050241;1230-1227-1250-1234;
15029;22932;;1153;
15030;-;;-;
15031;;3050270;1228-40033;
15032;;3050227;1253;
15033;;3050304;-;
15034;;3050237;-;
20401;-;;;
20402;-;;;
20403;14736;;;
20404;14747;;;
20405;20797;;;
20406;14739;;;
20407;20602;;;
20408;20261;;;
20409;11911;;;
20410;-;;;
20201;14749;;;
20202;17767;;;
20203;-;;;
